ObjectId,Country,Indicator,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total
3,"Afghanistan, Islamic Rep. of",Flood,0.0,4.0,8.0,2.0,9.0,7.0,7.0,1.0,3.0,2.0,2.0,6.0,4.0,2.0,1.0,4.0,1.0,3.0,6.0,5.0,2.0,79.0
10,Albania,Flood,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,12.0
17,Algeria,Flood,1.0,3.0,3.0,2.0,2.0,1.0,6.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,29.0
22,American Samoa,Flood,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,Angola,Flood,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,4.0,0.0,1.0,0.0,3.0,4.0,1.0,1.0,3.0,2.0,2.0,40.0
29,Anguilla,Flood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Argentina,Flood,3.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,36.0
44,"Armenia, Rep. of",Flood,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,Australia,Flood,4.0,0.0,4.0,3.0,1.0,1.0,1.0,4.0,2.0,5.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,37.0
56,Austria,Flood,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0
62,"Azerbaijan, Rep. of",Flood,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
68,"Bahamas, The",Flood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
73,Bangladesh,Flood,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,36.0
78,Barbados,Flood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,"Belarus, Rep. of",Flood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
86,Belgium,Flood,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0
